timeSec,temperature,humidity,distance
0,23.20,47.51,156
3,23.20,47.71,151
6,23.20,47.98,154
9,23.28,47.60,156
12,23.23,47.77,158
15,23.35,47.75,161
18,23.35,47.93,165
21,23.34,47.89,159
24,23.37,48.01,162
27,23.44,48.25,163
30,23.46,48.28,164
33,23.49,48.49,168
36,23.54,48.09,165
39,23.52,48.30,167
42,23.47,48.45,164
45,23.47,48.42,167
48,23.59,48.67,170
51,23.54,48.70,171
54,23.53,48.77,170
57,23.56,49.00,170
60,23.57,48.70,164
63,23.70,48.59,170
66,23.65,49.16,171
69,23.71,49.03,169
72,23.66,49.03,164
75,23.65,48.91,166
78,23.64,48.98,165
81,23.76,49.06,162
84,23.75,49.00,164
87,23.65,49.36,159
90,23.80,49.05,165
93,23.81,49.20,164
96,23.70,49.12,162
99,23.69,49.06,155
102,23.69,49.07,153
105,23.79,49.10,153
108,23.81,49.50,152
111,23.72,49.50,148
114,23.72,49.21,152
117,23.72,49.69,151
120,23.74,49.18,147
123,23.79,49.69,147
126,23.79,49.16,143
129,23.70,49.57,145
132,23.75,49.60,138
135,23.66,49.09,137
138,23.70,49.12,138
141,23.66,49.43,135
144,23.68,49.60,135
147,23.66,49.38,127
150,23.68,49.55,131
153,23.61,49.30,129
156,23.70,48.97,124
159,23.69,49.46,126
162,23.62,48.96,120
165,23.57,49.15,123
168,23.53,49.45,120
171,23.48,49.36,114
174,23.51,49.39,113
177,23.56,49.37,112
180,23.49,49.15,110
183,23.52,48.74,109
186,23.43,49.01,108
189,23.37,48.57,108
192,23.44,48.62,101
195,23.40,48.97,105
198,23.37,48.93,99
201,23.37,48.44,102
204,23.30,48.42,101
207,23.24,48.37,102
210,23.29,48.62,94
213,23.32,48.37,96
216,23.22,48.37,100
219,23.25,48.46,92
222,23.21,48.04,95
225,23.11,48.51,91
228,23.21,48.23,96
231,23.16,48.25,93
234,23.11,48.15,92
237,23.12,47.69,92
240,22.99,47.93,95
243,23.08,47.90,95
246,23.01,47.63,95
249,22.99,47.74,89
252,22.91,47.28,90
255,22.87,47.16,92
258,22.88,47.49,90
261,22.85,47.00,90
264,22.93,47.20,92
267,22.79,47.07,93
270,22.88,46.86,94
273,22.87,47.13,98
276,22.74,47.08,101
279,22.85,46.94,97
282,22.78,46.45,100
285,22.80,46.85,98
288,22.74,46.58,104
291,22.65,46.24,106
294,22.72,46.17,106
297,22.67,46.41,108
